URBAN_CODE,CURVES_D,ROUTE_NUMBER,STD_EXP_FACTOR,VERT_ALIGN,DONUT_EXP_FACTOR,NHS,IS_DONUT,PEAK_CAPACITY,SAMPLING_TECH,SAMPLE_ID,PERC_SIGHT,IS_METRIC,AT_GRADE_SIGNS,YEAR_RECORD,HORZ_ALIGN,TURN_LANES_L,GRADES_F,GRADES_B,PERC_COMBINATION,ROUTE_SIGNING,SHOULDER_TYPE,SHOULDER_WIDTH_L,SURV_A,CURVES_A,BEGIN_LRS,SPECIAL_SYSTEMS
0,0.0,0,3.316,0,0.0,0,0,1342,0,"['4.05413E+11😳' '4.05413E+11❌' '4.05413E+11📍' '4.05413E+11📍'
 '4.05413E+11✨']",0,0,0,2004,0,3,0.0,0.0,1,0,6,0,0,0.0,1.16,0
11,0.0,0,6.829,0,0.0,0,0,481,0,601650,0,0,1,2004,0,4,0.0,0.0,1,0,6,0,0,0.0,0.0,0
45,0.0,235,1.053,0,0.0,1,0,6168,0,['2581✨' '2581🙌' '2581👍' '2581🔥'],100,0,0,2004,0,0,0.0,0.0,2,1,2,10,0,0.63,2.03,1
0,0.0,0,5.355,0,0.0,0,0,436,0,30211000000,0,0,0,2004,0,4,0.0,0.0,4,0,6,0,0,0.0,0.0,0
214,0.0,0,1.707,0,0.0,0,0,478,0,5221000137,0,0,1,2004,0,4,0.0,0.0,1,0,6,0,0,0.0,0.0,0
13,0.0,94,1.728,0,0.0,1,0,4046,0,61427A0094CB,0,0,0,2004,0,0,0.0,0.46,5,1,2,10,1,0.46,225.13,1
146,0.0,0,3.029,0,0.0,0,0,2481,0,841200,0,0,0,2004,0,2,0.0,0.0,0,0,6,0,0,0.51,1.26,0
170,0.0,0,4.432,0,0.0,0,0,3470,0,"['579005970😇' '579005970⭐' '579005970❤️' '579005970😤' '579005970😍'
 '579005970👈' '579005970👀' '579005970😊']",0,0,0,2004,0,2,0.0,0.0,1,0,6,0,0,0.0,5.182,0
53,0.0,0,14.028,0,0.0,0,0,1799,0,A00048011730,0,0,0,2004,0,2,0.0,0.0,1,0,2,0,0,0.44,1.497,0
0,0.0,_US0087_,2.363,1,0.0,1,0,3085,0,6903012750,80,0,0,2004,1,0,0.0,1.6,10,2,2,6,0,3.22,385.421,0
0,0.0,['_US0083_🔥' '_US0083_😡' '_US0083_💀'],8.626,1,0.0,0,0,1483,0,3105009996,70,0,0,2004,1,4,0.0,2.2,12,2,2,0,0,3.061,137.69,0
289,0.0,10750119,1.0,0,0.0,0,0,1302,0,24160C0220AH,0,0,0,2004,0,4,0.0,0.0,5,7,6,0,0,0.28,0.76,0
0,0.328,000SH008,9.845,2,0.0,0,0,1738,0,00810B048685,60,0,0,2004,3,0,0.0,3.402,3,3,4,0,0,3.925,0.0,0
120,0.0,_IH0027_,1.017,0,0.0,1,0,6206,0,16809012527,0,0,0,2004,0,0,0.0,0.0,2,1,6,0,0,1.66,120.951,1
90,0.0,['0🙏' '0🥹' '0🥰' '0🥰' '0😡' '0💯'],1.009,0,0.0,0,0,1667,0,B02571000000,0,0,0,2004,0,2,0.0,0.0,1,5,6,0,0,0.214,0.739,0
0,0.114,64,13.907,4,0.0,0,0,1408,0,640003080,0,0,0,2004,4,0,0.202,0.086,1,3,3,0,0,0.413,4.939,0
190,0.0,0,2.873,1,0.0,0,0,480,0,4.345E+11,0,0,1,2004,1,4,0.0,0.0,2,0,6,0,0,0.0,0.0,0
444,0.0,0,1.201,0,0.0,0,0,1484,0,11800201690,0,0,1,2004,0,4,0.0,0.0,1,0,5,0,0,3.25,2.72,0
0,0.0,0,24.562,0,0.0,0,0,343,0,5E+11,0,0,3,2004,0,4,0.0,0.0,1,5,6,0,0,0.0,0.716,0
230,0.0,0,1.122,0,0.0,0,0,344,0,M00970M11700,0,0,2,2004,0,4,0.0,0.0,1,0,2,0,0,0.352,18.829,0
0,0.0,['240✔️' '240😏'],9.121,0,0.0,0,0,772,0,26169E0240AA,0,0,0,2004,0,4,0.0,0.0,5,7,6,0,0,0.0,0.0,0
9,0.0,0,61.117,0,0.0,0,0,1579,0,9920000700,0,0,0,2004,0,0,0.0,0.0,0,0,2,0,0,0.0,0.0,0
6,0.0,0,3.497,1,0.0,0,0,1797,0,04013A794105,0,0,0,2004,1,4,0.0,0.0,0,0,2,0,0,0.0,0.692,0
25,0.0,0,2.708,0,0.0,0,0,3611,0,2.001E+11,0,0,0,2004,0,2,0.0,0.0,0,0,6,0,0,1.73,3.347,0
1,0.0,1170,52.618,0,0.0,0,0,975,0,6938054,0,0,1,2004,0,3,0.0,0.0,2,3,6,0,0,0.0,8.143,0
94,0.0,930,2.213,0,0.0,1,0,4847,0,20130802000,0,0,0,2004,0,0,0.0,0.0,5,3,6,0,0,0.15,2.98,0
0,0.0,95,2.913,1,0.0,1,0,3813,0,I-0095000078,0,0,0,2004,1,0,0.0,1.4,13,1,2,4,0,3.27,96.27,1
0,0.0,1,6.317,1,0.0,1,0,2226,0,90722007283,40,0,0,2004,2,0,0.0,0.31,3,2,3,0,0,0.79,53.45,0
0,0.0,['I    10😬' 'I    10😅' 'I    10🙌'],3.382,1,0.0,1,0,3813,0,5.4001E+11,0,0,0,2004,1,0,0.0,0.0,12,1,2,4,0,4.353,4.914,1
17,0.0,IR000075,4.103,0,0.0,1,0,6057,0,"['00007500552A👀' '00007500552A🫂' '00007500552A🙌' '00007500552A🤯'
 '00007500552A😇' '00007500552A😩' '00007500552A❤️' '00007500552A✔️'
 '00007500552A👍']",0,0,0,2004,0,0,0.0,0.162,8,1,2,5,0,1.57,5.52,1
1,0.0,I-95,1.711,0,0.0,1,0,12837,0,0095  038410,0,0,0,2004,0,0,0.0,1.36,3,1,2,12,1,1.86,42.83,1
0,0.0,15,5.494,0,0.0,0,0,1569,0,15012391,0,0,0,2004,0,4,0.0,0.0,1,3,2,0,0,0.0,19.941,0
0,0.0,0,5.338,0,0.0,0,0,1607,0,035-9328-000,0,0,2,2004,0,3,0.0,0.0,0,0,6,0,0,0.0,0.0,0
0,0.0,US000023,3.8,1,0.0,1,0,3180,0,23000000,0,0,0,2004,1,4,0.0,0.0,12,2,4,6,0,1.49,0.0,0
236,0.0,00000G11,10.028,2,0.0,0,0,1078,0,05053HG05100,0,0,2,2004,2,3,0.0,0.0,0,5,6,0,0,0.28,0.0,0
228,0.0,IR000071,7.017,1,0.0,1,0,5631,0,71013520,0,0,0,2004,1,0,0.0,1.21,22,1,2,10,0,1.21,13.65,1
367,0.0,0,2.041,0,0.0,0,0,1116,0,1100805501A7,0,0,0,2004,0,2,0.0,0.0,2,6,6,0,0,1.142,0.0,0
47,0.0,533,7.508,0,0.0,0,0,425,0,012X022,0,0,0,2004,0,4,0.0,0.0,1,3,2,0,0,0.0,0.0,0
396,0.0,0,4.651,0,0.0,0,0,475,0,11065WK06100,0,0,1,2004,0,4,0.0,0.0,1,0,6,0,0,0.0,0.0,0
489,0.0,0,4.343,0,0.0,0,0,1594,0,3.0294E+11,0,0,0,2004,0,4,0.0,0.0,1,0,1,0,0,0.3,3.347,0
0,0.0,0,72.06,1,0.0,0,0,1886,0,CAXTIX000002,0,0,0,2004,1,0,0.0,0.0,1,5,2,0,0,0.0,0.0,0
324,0.0,00CY2075,2.249,0,0.0,0,0,3203,0,5.3023E+11,0,0,0,2004,0,3,0.0,0.182,5,7,6,0,0,0.329,4.99,0
330,0.0,1,2.473,0,0.0,0,0,1681,0,1.90703E+11,0,0,0,2004,0,3,0.0,0.0,0,3,6,0,0,0.04,0.2,0
142,0.0,0,5.359,0,0.0,0,0,478,0,2.81001E+11,39,0,1,2004,0,4,0.0,0.0,1,0,3,0,0,0.0,6.331,0
0,0.0,93,2.533,4,0.0,1,0,2382,0,P00005027047,100,0,0,2004,4,0,0.0,0.1,9,2,4,0,0,1.4,27.503,0
170,0.0,592,1.244,0,0.0,0,0,3349,0,592003012,0,0,0,2004,0,3,0.0,0.0,0,3,6,0,0,0.17,4.847,0
200,0.0,44,1.033,0,0.0,1,0,3976,0,2621,100,0,0,2004,0,0,0.0,0.0,8,1,2,4,0,0.64,5.44,1
355,0.0,34,4.797,0,0.0,0,0,1278,0,S-0034001477,0,0,0,2004,0,3,0.0,0.0,5,3,5,0,0,0.0,6.228,0
0,0.0,9,15.838,1,0.0,0,0,1499,0,7.8005E+11,90,0,0,2004,1,0,0.0,1.0,12,3,3,0,0,2.0,6.983,0
13,0.0,102,12.655,0,0.0,0,0,341,0,27482E0102AB,0,0,1,2004,0,4,0.0,0.0,3,7,6,0,0,0.0,1.11,0
0,0.0,0,2.007,0,0.0,0,0,1634,0,8280001061,0,0,0,2004,0,4,0.0,0.0,1,0,3,0,0,0.341,0.0,0
276,0.0,346,2.733,0,0.0,0,0,1554,0,"['3.701E+11🫶' '3.701E+11🔥' '3.701E+11😩' '3.701E+11😎' '3.701E+11🔥'
 '3.701E+11🥹' '3.701E+11😭' '3.701E+11🤣']",0,0,0,2004,0,4,0.0,0.0,1,3,4,0,0,0.22,13.969,0
0,0.0,67,23.778,1,0.0,1,0,2129,0,2100106050,0,0,0,2004,4,0,0.0,0.4,4,3,5,0,0,1.773,14.51,0
0,0.0,0,9.877,2,0.0,0,0,1612,0,6756000000,0,0,0,2004,2,0,0.0,0.0,11,0,3,0,0,0.0,0.0,0
0,0.0,0,8.319,0,0.0,0,0,1385,0,84610001200,0,0,0,2004,0,4,0.0,0.0,1,0,6,0,0,0.6,1.931,0
0,0.0,0,6.903,0,0.0,0,0,1359,0,11065Y850125,0,0,0,2004,0,4,0.0,0.0,2,0,1,0,0,0.0,8.626,0
114,0.0,2084,1.403,0,0.0,0,0,1681,0,2084000000,0,0,0,2004,0,4,0.0,0.0,1,3,2,0,0,0.0,0.0,0
311,0.0,0,8.035,0,0.0,0,0,1192,0,9.4006E+11,0,0,0,2004,0,3,0.0,0.0,1,3,4,0,0,0.0,0.0,0
32,0.0,0,1.424,1,0.0,0,0,1455,0,04085C305125,0,0,0,2004,1,4,0.0,0.0,0,0,6,0,0,0.0,4.104,0
0,0.0,80,3.56,0,0.0,1,0,3607,0,370030,0,0,0,2004,0,0,0.0,0.2,31,1,4,8,0,0.2,18.35,1
